filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200501_SNOW0_-20,F200501,SNOW,0,-20.0,noisy,,-5.245208740234375e-05
F200501_SNOW0_-10,F200501,SNOW,0,-10.0,noisy,,-0.00020503997802734375
F200501_SNOW0_-5,F200501,SNOW,0,-5.0,noisy,,-0.0003522634506225586
F200501_SNOW0_0,F200501,SNOW,0,0.0,noisy,,-0.0006088806549087167
F200501_SNOW0_5,F200501,SNOW,0,5.0,noisy,,-0.0011804699897766113
F200501_SNOW0_10,F200501,SNOW,0,10.0,noisy,,-0.0022202730178833008
F200501_SNOW0_20,F200501,SNOW,0,20.0,noisy,,-0.006636381149291992
F200501_SNOW0_inf,F200501,SNOW,0,inf,noisy,,
F200501_SNOW1_-20,F200501,SNOW,1,-20.0,noisy,,-6.67572021484375e-05
F200501_SNOW1_-10,F200501,SNOW,1,-10.0,noisy,,-0.0002288818359375
F200501_SNOW1_-5,F200501,SNOW,1,-5.0,noisy,,-0.00036597251892089844
F200501_SNOW1_0,F200501,SNOW,1,0.0,noisy,,-0.0006994952127570286
F200501_SNOW1_5,F200501,SNOW,1,5.0,noisy,,-0.0011923909187316895
F200501_SNOW1_10,F200501,SNOW,1,10.0,noisy,,-0.0022840499877929688
F200501_SNOW1_20,F200501,SNOW,1,20.0,noisy,,-0.007512569427490234
F200501_SNOW1_inf,F200501,SNOW,1,inf,noisy,,
F200501_SNOW2_-20,F200501,SNOW,2,-20.0,noisy,,-5.0067901611328125e-05
F200501_SNOW2_-10,F200501,SNOW,2,-10.0,noisy,,-0.00015974044799804688
F200501_SNOW2_-5,F200501,SNOW,2,-5.0,noisy,,-0.00029981136322021484
F200501_SNOW2_0,F200501,SNOW,2,0.0,noisy,,-0.0005257758311927319
F200501_SNOW2_5,F200501,SNOW,2,5.0,noisy,,-0.0011053681373596191
F200501_SNOW2_10,F200501,SNOW,2,10.0,noisy,,-0.0018227100372314453
F200501_SNOW2_20,F200501,SNOW,2,20.0,noisy,,-0.005805492401123047
F200501_SNOW2_inf,F200501,SNOW,2,inf,noisy,,
F200501_SNOW3_-20,F200501,SNOW,3,-20.0,noisy,,-5.4836273193359375e-05
F200501_SNOW3_-10,F200501,SNOW,3,-10.0,noisy,,-0.00016808509826660156
F200501_SNOW3_-5,F200501,SNOW,3,-5.0,noisy,,-0.0002932548522949219
F200501_SNOW3_0,F200501,SNOW,3,0.0,noisy,,-0.000547781637578737
F200501_SNOW3_5,F200501,SNOW,3,5.0,noisy,,-0.0009354948997497559
F200501_SNOW3_10,F200501,SNOW,3,10.0,noisy,,-0.0018709897994995117
F200501_SNOW3_20,F200501,SNOW,3,20.0,noisy,,-0.006444454193115234
F200501_SNOW3_inf,F200501,SNOW,3,inf,noisy,,
F200501_SNOW4_-20,F200501,SNOW,4,-20.0,noisy,,-6.914138793945312e-05
F200501_SNOW4_-10,F200501,SNOW,4,-10.0,noisy,,-0.00023603439331054688
F200501_SNOW4_-5,F200501,SNOW,4,-5.0,noisy,,-0.0003808736801147461
F200501_SNOW4_0,F200501,SNOW,4,0.0,noisy,,-0.0007492045551771298
F200501_SNOW4_5,F200501,SNOW,4,5.0,noisy,,-0.0012508034706115723
F200501_SNOW4_10,F200501,SNOW,4,10.0,noisy,,-0.002524852752685547
F200501_SNOW4_20,F200501,SNOW,4,20.0,noisy,,-0.008012056350708008
F200501_SNOW4_inf,F200501,SNOW,4,inf,noisy,,
F200501_VACUUM0_-20,F200501,VACUUM,0,-20.0,noisy,,-2.6226043701171875e-05
F200501_VACUUM0_-10,F200501,VACUUM,0,-10.0,noisy,,-9.059906005859375e-05
F200501_VACUUM0_-5,F200501,VACUUM,0,-5.0,noisy,,-0.0001513957977294922
F200501_VACUUM0_0,F200501,VACUUM,0,0.0,noisy,,-0.0003088305675191805
F200501_VACUUM0_5,F200501,VACUUM,0,5.0,noisy,,-0.00043213367462158203
F200501_VACUUM0_10,F200501,VACUUM,0,10.0,noisy,,-0.0009310245513916016
F200501_VACUUM0_20,F200501,VACUUM,0,20.0,noisy,,-0.0032770633697509766
F200501_VACUUM0_inf,F200501,VACUUM,0,inf,noisy,,
F200501_VACUUM1_-20,F200501,VACUUM,1,-20.0,noisy,,-9.5367431640625e-06
F200501_VACUUM1_-10,F200501,VACUUM,1,-10.0,noisy,,-2.384185791015625e-05
F200501_VACUUM1_-5,F200501,VACUUM,1,-5.0,noisy,,-2.8014183044433594e-05
F200501_VACUUM1_0,F200501,VACUUM,1,0.0,noisy,,-9.836779099714477e-05
F200501_VACUUM1_5,F200501,VACUUM,1,5.0,noisy,,-0.00015884637832641602
F200501_VACUUM1_10,F200501,VACUUM,1,10.0,noisy,,-0.0005346536636352539
F200501_VACUUM1_20,F200501,VACUUM,1,20.0,noisy,,-0.001329183578491211
F200501_VACUUM1_inf,F200501,VACUUM,1,inf,noisy,,
F200501_VACUUM2_-20,F200501,VACUUM,2,-20.0,noisy,,-9.5367431640625e-06
F200501_VACUUM2_-10,F200501,VACUUM,2,-10.0,noisy,,-1.9073486328125e-05
F200501_VACUUM2_-5,F200501,VACUUM,2,-5.0,noisy,,-6.854534149169922e-05
F200501_VACUUM2_0,F200501,VACUUM,2,0.0,noisy,,-0.00012451328984752763
F200501_VACUUM2_5,F200501,VACUUM,2,5.0,noisy,,-0.0001576542854309082
F200501_VACUUM2_10,F200501,VACUUM,2,10.0,noisy,,-0.00035703182220458984
F200501_VACUUM2_20,F200501,VACUUM,2,20.0,noisy,,-0.00152587890625
F200501_VACUUM2_inf,F200501,VACUUM,2,inf,noisy,,
F200501_VACUUM3_-20,F200501,VACUUM,3,-20.0,noisy,,-9.5367431640625e-06
F200501_VACUUM3_-10,F200501,VACUUM,3,-10.0,noisy,,-3.218650817871094e-05
F200501_VACUUM3_-5,F200501,VACUUM,3,-5.0,noisy,,-4.470348358154297e-05
F200501_VACUUM3_0,F200501,VACUUM,3,0.0,noisy,,-0.00013486798707162961
F200501_VACUUM3_5,F200501,VACUUM,3,5.0,noisy,,-0.00014930963516235352
F200501_VACUUM3_10,F200501,VACUUM,3,10.0,noisy,,-0.0003224611282348633
F200501_VACUUM3_20,F200501,VACUUM,3,20.0,noisy,,-0.0016355514526367188
F200501_VACUUM3_inf,F200501,VACUUM,3,inf,noisy,,
F200501_VACUUM4_-20,F200501,VACUUM,4,-20.0,noisy,,-4.76837158203125e-06
F200501_VACUUM4_-10,F200501,VACUUM,4,-10.0,noisy,,-2.7418136596679688e-05
F200501_VACUUM4_-5,F200501,VACUUM,4,-5.0,noisy,,-4.5299530029296875e-05
F200501_VACUUM4_0,F200501,VACUUM,4,0.0,noisy,,-7.041040589683689e-05
F200501_VACUUM4_5,F200501,VACUUM,4,5.0,noisy,,-0.00010967254638671875
F200501_VACUUM4_10,F200501,VACUUM,4,10.0,noisy,,-0.00045359134674072266
F200501_VACUUM4_20,F200501,VACUUM,4,20.0,noisy,,-0.0011229515075683594
F200501_VACUUM4_inf,F200501,VACUUM,4,inf,noisy,,
F200501_WASHING0_-20,F200501,WASHING,0,-20.0,noisy,,5.9604644775390625e-06
F200501_WASHING0_-10,F200501,WASHING,0,-10.0,noisy,,2.086162567138672e-05
F200501_WASHING0_-5,F200501,WASHING,0,-5.0,noisy,,3.159046173095703e-05
F200501_WASHING0_0,F200501,WASHING,0,0.0,noisy,,1.2942964531248435e-05
F200501_WASHING0_5,F200501,WASHING,0,5.0,noisy,,9.47713851928711e-05
F200501_WASHING0_10,F200501,WASHING,0,10.0,noisy,,0.000209808349609375
F200501_WASHING0_20,F200501,WASHING,0,20.0,noisy,,0.0001811981201171875
F200501_WASHING0_inf,F200501,WASHING,0,inf,noisy,,
F200501_WASHING1_-20,F200501,WASHING,1,-20.0,noisy,,8.344650268554688e-06
F200501_WASHING1_-10,F200501,WASHING,1,-10.0,noisy,,2.2649765014648438e-05
F200501_WASHING1_-5,F200501,WASHING,1,-5.0,noisy,,5.7220458984375e-05
F200501_WASHING1_0,F200501,WASHING,1,0.0,noisy,,8.128117769956589e-05
F200501_WASHING1_5,F200501,WASHING,1,5.0,noisy,,0.00020265579223632812
F200501_WASHING1_10,F200501,WASHING,1,10.0,noisy,,0.000247955322265625
F200501_WASHING1_20,F200501,WASHING,1,20.0,noisy,,-0.00010013580322265625
F200501_WASHING1_inf,F200501,WASHING,1,inf,noisy,,
F200501_WASHING2_-20,F200501,WASHING,2,-20.0,noisy,,4.76837158203125e-06
F200501_WASHING2_-10,F200501,WASHING,2,-10.0,noisy,,1.728534698486328e-05
F200501_WASHING2_-5,F200501,WASHING,2,-5.0,noisy,,2.6524066925048828e-05
F200501_WASHING2_0,F200501,WASHING,2,0.0,noisy,,8.335201528097969e-05
F200501_WASHING2_5,F200501,WASHING,2,5.0,noisy,,0.0001609325408935547
F200501_WASHING2_10,F200501,WASHING,2,10.0,noisy,,3.218650817871094e-05
F200501_WASHING2_20,F200501,WASHING,2,20.0,noisy,,-0.00017404556274414062
F200501_WASHING2_inf,F200501,WASHING,2,inf,noisy,,
F200501_WASHING3_-20,F200501,WASHING,3,-20.0,noisy,,5.9604644775390625e-06
F200501_WASHING3_-10,F200501,WASHING,3,-10.0,noisy,,9.5367431640625e-06
