filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr,llr,csii
F200501_SNOW0_-20,F200501,SNOW,0,-20,noisy,1.09099960327148,0.267147004498906,0.306582783180048,1.43863298731995,0.00115291653355452
F200501_SNOW0_-10,F200501,SNOW,0,-10,noisy,0.680164694786072,0.338516520059795,0.320266019470821,1.40482813685864,0.0620556760572012
F200501_SNOW0_-5,F200501,SNOW,0,-5,noisy,0.797006249427795,0.432435637038027,0.402518915992154,1.32591121229288,0.149775332394352
F200501_SNOW0_0,F200501,SNOW,0,0,noisy,1.10105931758881,0.558910132195665,0.806834447948187,1.16365002741065,0.282428496312445
F200501_SNOW0_5,F200501,SNOW,0,5,noisy,1.50845372676849,0.700669552216682,2.18894508425732,0.93045039530529,0.434267725199167
F200501_SNOW0_10,F200501,SNOW,0,10,noisy,1.93230998516083,0.829189160333252,5.23033552261565,0.68276817363069,0.590311057499952
F200501_SNOW0_20,F200501,SNOW,0,20,noisy,2.70878601074219,0.967666127474321,11.222359069361,0.325264950128328,0.880658310115971
F200501_SNOW0_inf,F200501,SNOW,0,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_SNOW1_-20,F200501,SNOW,1,-20,noisy,0.370534896850586,0.272069429798114,0.463649251867352,1.48452500613863,0.00178987637246991
F200501_SNOW1_-10,F200501,SNOW,1,-10,noisy,0.374965816736221,0.340265584438984,0.478791352409536,1.44636843552529,0.0441854623436586
F200501_SNOW1_-5,F200501,SNOW,1,-5,noisy,0.839340269565582,0.430401321746495,0.57223424046783,1.3740948538296,0.1412337647579
F200501_SNOW1_0,F200501,SNOW,1,0,noisy,1.17467534542084,0.557922432836567,1.01194612882847,1.20886715260987,0.281007754957483
F200501_SNOW1_5,F200501,SNOW,1,5,noisy,1.55698919296265,0.703008022788882,2.49151819918159,0.965025066502981,0.434447671378824
F200501_SNOW1_10,F200501,SNOW,1,10,noisy,1.95055854320526,0.832985279574273,5.59169954510223,0.699556770131831,0.592328271564521
F200501_SNOW1_20,F200501,SNOW,1,20,noisy,2.73317456245422,0.964592995958854,11.3291996954686,0.328382811851805,0.888162181221445
F200501_SNOW1_inf,F200501,SNOW,1,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_SNOW2_-20,F200501,SNOW,2,-20,noisy,0.417352676391602,0.261807833651629,0.403109850090761,1.45820174006435,0.00123688067752656
F200501_SNOW2_-10,F200501,SNOW,2,-10,noisy,0.540339648723602,0.337454586310923,0.426394817809898,1.42431407485921,0.0309175207628788
F200501_SNOW2_-5,F200501,SNOW,2,-5,noisy,0.856211364269257,0.43276741534768,0.527918747088131,1.34905982766344,0.130852712251917
F200501_SNOW2_0,F200501,SNOW,2,0,noisy,1.12337934970856,0.563623198190877,0.955812425092387,1.18199448727044,0.272649172245267
F200501_SNOW2_5,F200501,SNOW,2,5,noisy,1.50098073482513,0.709438305979881,2.34701581405757,0.942090288520768,0.424158534491188
F200501_SNOW2_10,F200501,SNOW,2,10,noisy,1.92048215866089,0.839832422993774,5.32884850700933,0.683918451940411,0.5793828061159
F200501_SNOW2_20,F200501,SNOW,2,20,noisy,2.68002390861511,0.969874857896758,11.1456676336861,0.313340241526858,0.872487153445693
F200501_SNOW2_inf,F200501,SNOW,2,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_SNOW3_-20,F200501,SNOW,3,-20,noisy,0.457782477140427,0.249333478464535,0.529071203518696,1.46388540569838,3.506641286788e-05
F200501_SNOW3_-10,F200501,SNOW,3,-10,noisy,0.40310350060463,0.311378211073299,0.527785499068039,1.4325706990097,0.0239895924563361
F200501_SNOW3_-5,F200501,SNOW,3,-5,noisy,0.943512558937073,0.402865298078235,0.588206544070354,1.35797204396709,0.115672281633864
F200501_SNOW3_0,F200501,SNOW,3,0,noisy,1.09419918060303,0.540721115543826,0.972018656761632,1.19146757207531,0.255766303856423
F200501_SNOW3_5,F200501,SNOW,3,5,noisy,1.50499260425568,0.698804310175591,2.44016299580238,0.951021924152504,0.410802048948999
F200501_SNOW3_10,F200501,SNOW,3,10,noisy,1.92401003837585,0.836146232613324,5.7354446837593,0.696662963174329,0.570153643471437
F200501_SNOW3_20,F200501,SNOW,3,20,noisy,2.68057894706726,0.970030285771342,11.7035937893425,0.326990451645669,0.874853830024116
F200501_SNOW3_inf,F200501,SNOW,3,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_SNOW4_-20,F200501,SNOW,4,-20,noisy,0.304127544164658,0.226860694233474,0.26453485237681,1.49014615275064,0.000746550881142711
F200501_SNOW4_-10,F200501,SNOW,4,-10,noisy,0.282418727874756,0.311422372868122,0.287664756295569,1.43425064552672,0.0686604212824476
F200501_SNOW4_-5,F200501,SNOW,4,-5,noisy,0.8501016497612,0.417049471510169,0.374625197016694,1.33724449562886,0.177451920777396
F200501_SNOW4_0,F200501,SNOW,4,0,noisy,1.17372977733612,0.549913965212572,0.781289076833049,1.15959559234398,0.302825142084506
F200501_SNOW4_5,F200501,SNOW,4,5,noisy,1.57854247093201,0.685662869254612,2.18437620345693,0.943092110027601,0.452321632667927
F200501_SNOW4_10,F200501,SNOW,4,10,noisy,1.98710060119629,0.8093056267095,5.2757433694943,0.714041298237581,0.608633349911555
F200501_SNOW4_20,F200501,SNOW,4,20,noisy,2.72400116920471,0.960198420050502,11.3036650866355,0.355896936775484,0.880986230718044
F200501_SNOW4_inf,F200501,SNOW,4,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_VACUUM0_-20,F200501,VACUUM,0,-20,noisy,1.02958428859711,0.339367899036124,0.538639308182275,1.82940737856005,0.0495927401621841
F200501_VACUUM0_-10,F200501,VACUUM,0,-10,noisy,0.929267048835754,0.455763513760948,0.582971037054884,1.81885891890698,0.180107594175438
F200501_VACUUM0_-5,F200501,VACUUM,0,-5,noisy,1.19964385032654,0.531957606319214,0.776496194949952,1.77582472950897,0.268587683966182
F200501_VACUUM0_0,F200501,VACUUM,0,0,noisy,1.39341652393341,0.615114014692973,1.4778001538076,1.66782155788089,0.376281712874007
F200501_VACUUM0_5,F200501,VACUUM,0,5,noisy,1.64927470684052,0.709025271115934,3.38165449771526,1.46007147246978,0.499377782503873
F200501_VACUUM0_10,F200501,VACUUM,0,10,noisy,1.93429851531982,0.800331527271356,6.71584761815382,1.19901692595384,0.624241608442437
F200501_VACUUM0_20,F200501,VACUUM,0,20,noisy,2.60057401657104,0.944265638139155,11.7744503848293,0.695382344612619,0.820480723843194
F200501_VACUUM0_inf,F200501,VACUUM,0,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_VACUUM1_-20,F200501,VACUUM,1,-20,noisy,0.790104448795319,0.300751862625469,0.820003062253387,1.89703049549766,0.0453312561924396
F200501_VACUUM1_-10,F200501,VACUUM,1,-10,noisy,0.7024827003479,0.446749419626675,0.894574176283839,1.88359340118296,0.192342819264659
F200501_VACUUM1_-5,F200501,VACUUM,1,-5,noisy,1.33609461784363,0.529838615644924,1.27364612451784,1.83173907234317,0.281279821581462
F200501_VACUUM1_0,F200501,VACUUM,1,0,noisy,1.44517207145691,0.615475677305819,2.503176719772,1.69426323594099,0.383256133752125
F200501_VACUUM1_5,F200501,VACUUM,1,5,noisy,1.61966180801392,0.7088144220858,5.10152213825397,1.47370881299489,0.505013569418263
F200501_VACUUM1_10,F200501,VACUUM,1,10,noisy,1.88546872138977,0.807604533399731,8.33698629558382,1.21764203104389,0.627269813664946
F200501_VACUUM1_20,F200501,VACUUM,1,20,noisy,2.50597476959229,0.953025948357723,12.031291058973,0.747388848402586,0.799823560648599
F200501_VACUUM1_inf,F200501,VACUUM,1,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_VACUUM2_-20,F200501,VACUUM,2,-20,noisy,0.950990259647369,0.316854094613797,0.849072944400789,1.8056644311039,0.0265201745389226
F200501_VACUUM2_-10,F200501,VACUUM,2,-10,noisy,1.04441499710083,0.42498539483604,0.891419437733383,1.79133920845869,0.156266335658561
F200501_VACUUM2_-5,F200501,VACUUM,2,-5,noisy,1.13989508152008,0.503525007481557,1.17354829325961,1.73511212677871,0.243547675046323
F200501_VACUUM2_0,F200501,VACUUM,2,0,noisy,1.28983962535858,0.594250763282435,2.16120537493079,1.6009907059402,0.351447898662474
F200501_VACUUM2_5,F200501,VACUUM,2,5,noisy,1.53198933601379,0.692190756361361,4.47209321732332,1.38891754106595,0.4835488463093
F200501_VACUUM2_10,F200501,VACUUM,2,10,noisy,1.83158719539642,0.800621001533091,7.7680498053048,1.13697488086621,0.61131220814768
F200501_VACUUM2_20,F200501,VACUUM,2,20,noisy,2.52743363380432,0.951768089143437,11.9899277728356,0.649351435171083,0.805513560303068
F200501_VACUUM2_inf,F200501,VACUUM,2,Inf,noisy,4.5,0.999999999999999,12.9691306810998,0,1
F200501_VACUUM3_-20,F200501,VACUUM,3,-20,noisy,0.643434941768646,0.313808940165529,0.554645983528598,1.85120870246718,0.0560374505634593
F200501_VACUUM3_-10,F200501,VACUUM,3,-10,noisy,0.986256301403046,0.429351086392196,0.629566937329667,1.84462632758852,0.204209007731256
