filename,quality
F200504_VACUUM4_0,3
F200504_VACUUM4_10,3
F200504_VACUUM4_-10,2
F200504_VACUUM4_20,3
F200504_VACUUM4_-20,1
F200504_VACUUM4_5,3
F200504_VACUUM4_-5,2
F200504_VACUUM4_inf,1
F200509_SNOW4_0,3
F200509_SNOW4_10,4
F200509_SNOW4_-10,2
F200509_SNOW4_20,3
F200509_SNOW4_-20,1
F200509_SNOW4_5,3
F200509_SNOW4_-5,3
F200509_SNOW4_inf,1
F200606_VACUUM0_0,2
F200606_VACUUM0_10,3
F200606_VACUUM0_-10,2
F200606_VACUUM0_20,3
F200606_VACUUM0_-20,1
F200606_VACUUM0_5,2
F200606_VACUUM0_-5,2
F200606_VACUUM0_inf,1
F200608_WASHING3_0,3
F200608_WASHING3_10,3
F200608_WASHING3_-10,3
F200608_WASHING3_20,2
F200608_WASHING3_-20,2
F200608_WASHING3_5,3
F200608_WASHING3_-5,3
F200608_WASHING3_inf,1
F200610_VACUUM3_0,2
F200610_VACUUM3_10,3
F200610_VACUUM3_-10,2
F200610_VACUUM3_20,3
F200610_VACUUM3_-20,1
F200610_VACUUM3_5,3
F200610_VACUUM3_-5,3
F200610_VACUUM3_inf,1
