id,bruno,celso,felipe
0,1,1,1
1,3,4,3
2,4,4,4
3,3,3,4
4,3,3,3
5,4,4,4
6,4,4,5
7,2,2,1
8,4,4,4
9,5,5,5
10,1,1,1
11,4,5,3
12,4,4,4
13,1,1,1
14,5,3,3
15,2,2,2
16,1,1,1
17,1,1,1
18,1,1,1
19,2,2,1
20,1,1,1
21,2,2,1
22,3,2,2
23,2,1,1
24,4,4,3
25,3,2,1
26,3,3,1
27,5,5,4
28,3,3,4
29,5,5,5
30,1,2,1
31,2,2,2
32,1,1,1
33,4,3,3
34,2,2,1
35,2,2,1
36,1,1,1
37,1,1,1
38,2,2,2
39,5,5,3
40,2,2,2
41,4,4,3
42,1,1,1
43,5,4,2
44,5,5,4
45,4,4,4
46,2,2,2
47,1,2,2
48,3,3,3
49,1,1,1
50,2,3,2
51,2,3,4
52,1,1,1
53,1,2,1
54,1,1,1
55,5,5,5
56,4,4,4
57,1,2,1
58,3,3,3
59,4,5,3
60,1,1,1
61,4,3,4
62,1,2,1
63,1,1,1
64,2,2,1
65,1,1,1
66,2,3,2
67,1,1,1
68,4,4,4
69,2,2,1
70,3,2,2
71,3,3,2
72,4,4,4
73,4,4,4
74,1,2,3
75,4,4,4
76,4,4,4
77,5,5,5
78,2,2,3
79,3,4,4
80,5,5,5
81,1,1,1
82,1,1,1
83,1,1,1
84,5,5,3
85,4,3,2
86,1,1,1
87,1,1,1
88,3,2,3
89,1,1,1
90,1,1,1
91,5,5,3
92,4,4,4
93,1,1,1
94,4,3,3
95,5,4,5
96,1,1,1
97,5,5,5
98,4,3,4
99,3,2,3
